Name,Time,Step,X,Y,Z
Rear right,1,"0,2","2,747","272,96","19,368"
Rear right,2,"0,4","4,7454","439,89","31,841"
Rear right,3,"0,6","6,4289","585,43","42,853"
Rear right,4,"0,8","7,9034","722,38","51,055"
Rear right,5,"1,","9,2285","855,17","58,134"
Rear left,1,"0,2","3,1654","-299,81","68,29"
Rear left,2,"0,4","5,349","-459,74","167,83"
Rear left,3,"0,6","9,6331","-594,51","261,63"
Rear left,4,"0,8","15,282","-722,92","348,22"
Rear left,5,"1,","21,918","-848,08","428,91"
Bottom left,1,"0,2","226,75","113,36","17,443"
Bottom left,2,"0,4","361,54","261,45","39,43"
Bottom left,3,"0,6","493,63","392,71","60,505"
Bottom left,4,"0,8","623,47","519,17","79,95"
Bottom left,5,"1,","748,26","649,78","98,407"
Bottom right,1,"0,2","-221,15","-99,187","1,8085"
Bottom right,2,"0,4","-359,29","-224,17","12,049"
Bottom right,3,"0,6","-507,41","-335,2","20,589"
Bottom right,4,"0,8","-651,28","-443,04","28,62"
Bottom right,5,"1,","-786,46","-551,35","37,739"
Firewall right,1,"0,2","15,304","-84,324","-15,707"
Firewall right,2,"0,4","24,235","-98,038","-38,917"
Firewall right,3,"0,6","34,027","-140,06","-61,631"
Firewall right,4,"0,8","44,516","-185,83","-83,464"
Firewall right,5,"1,","55,465","-229,57","-104,82"
Firewall left,1,"0,2","7,8419","107,83","84,684"
Firewall left,2,"0,4","20,987","129,13","150,51"
Firewall left,3,"0,6","54,536","192,22","275,15"
Firewall left,4,"0,8","89,955","261,77","408,63"
Firewall left,5,"1,","124,42","327,2","541,07"
Firewall bottom,1,"0,2","8,9794","21,617","218,76"
Firewall bottom,2,"0,4","16,89","46,079","390,25"
Firewall bottom,3,"0,6","25,395","73,877","480,39"
Firewall bottom,4,"0,8","34,601","101,11","559,52"
Firewall bottom,5,"1,","43,907","130,95","639,33"
