Name,LoadCase,Timestep,Fx,Fy,Fz,A_norm_x_mm2,A_norm_y_mm2,A_norm_z_mm2,A_shear_x_mm2,A_shear_y_mm2,A_shear_z_mm2,sigma_x_MPa,sigma_y_MPa,sigma_z_MPa,tau_x_MPa,tau_y_MPa,tau_z_MPa,SF_normal_x,SF_normal_y,SF_normal_z,SF_shear_x,SF_shear_y,SF_shear_z,SF_x,SF_y,SF_z,SF_min,ControlMode
Firewall left,Down,1,124.42,327.2,541.07,0,0,667.8,667.8,667.8,0,NaN,NaN,0.810227613057802,0.186313267445343,0.489967056004792,NaN,NaN,NaN,11.8485223723363,51.526121202379,19.5931540342298,NaN,51.526121202379,19.5931540342298,11.8485223723363,11.8485223723363,Normal Z
Bottom left,Down,1,748.26,649.78,98.407,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.772370673259795,0.0988955439872972,0.407473561540891,0.619357175537593,0.109910201711082,NaN,12.4292652897904,97.0721188533336,23.5598107609654,15.4999415186679,87.3440304043412,23.5598107609654,12.4292652897904,87.3440304043412,12.4292652897904,Normal Y
Bottom left,Up,0.8,623.47,519.17,79.95,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.617119151768733,0.0803469137539445,0.339517736366904,0.494862360835748,0.0892956865548283,NaN,15.5561530905099,119.481876172608,28.2754005806214,19.3993335516305,107.50799249531,28.2754005806214,15.5561530905099,107.50799249531,15.5561530905099,Normal Y
Firewall left,Up,0.8,89.955,261.77,408.63,0,0,667.8,667.8,667.8,0,NaN,NaN,0.611904761904762,0.134703504043127,0.39198861934711,NaN,NaN,NaN,15.6887159533074,71.2676338169085,24.4905069335676,NaN,71.2676338169085,24.4905069335676,15.6887159533074,15.6887159533074,Normal Z
Rear left,Down,1,21.918,-848.08,428.91,667.8,50.56,763.2,813.76,1431,718.36,0.0328212039532794,NaN,0.561988993710692,0.026934231222965,-0.592648497554158,0.59706832228966,292.493840678894,NaN,17.0821850737917,356.423761292089,16.198471842279,16.0785619360705,292.493840678894,16.198471842279,16.0785619360705,16.0785619360705,Shear Z
Rear left,Up,0.8,15.282,-722.92,348.22,667.8,50.56,763.2,813.76,1431,718.36,0.0228840970350404,NaN,0.456263102725367,0.0187794927251278,-0.505185185185185,0.484743025780946,419.505300353357,NaN,21.0404916432141,511.195916764821,19.0029325513197,19.8043076216185,419.505300353357,19.0029325513197,19.8043076216185,19.0029325513197,Shear Y
Bottom left,Forward,0.6,493.63,392.71,60.505,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.466800589577786,0.0608053785701365,0.268811875796421,0.374323242336434,0.0675776799874908,NaN,20.565526724555,157.880770184282,35.7127078986285,25.6462835170991,142.058738947194,35.7127078986285,20.565526724555,142.058738947194,20.565526724555,Normal Y
Rear left,Forward,0.6,9.6331,-594.51,261.63,667.8,50.56,763.2,813.76,1431,718.36,0.0144251272836179,NaN,0.342806603773585,0.0118377654345262,-0.415450733752621,0.364204577092266,665.505392864187,NaN,28.0041279669763,810.963864176641,23.1074330120604,26.3588120628368,665.505392864187,23.1074330120604,26.3588120628368,23.1074330120604,Shear Y
Firewall left,Forward,0.6,54.536,192.22,275.15,0,0,667.8,667.8,667.8,0,NaN,NaN,0.412024558250973,0.081665169212339,0.287840670859539,NaN,NaN,NaN,23.2995820461566,117.55317588382,33.3517844136926,NaN,117.55317588382,33.3517844136926,23.2995820461566,23.2995820461566,Normal Z
Firewall bottom,Down,1,43.907,130.95,639.33,0,1622.95,0,1622.95,0,1622.95,NaN,0.0806864043870729,NaN,0.0270538217443544,NaN,0.393930805015558,NaN,118.979152348225,NaN,354.848201881249,NaN,24.3697620946929,354.848201881249,118.979152348225,24.3697620946929,24.3697620946929,Shear Z
Firewall bottom,Up,0.8,34.601,101.11,559.52,0,1622.95,0,1622.95,0,1622.95,NaN,0.0623001324748144,NaN,0.0213198188483934,NaN,0.344754921593395,NaN,154.092770250223,NaN,450.285251871333,NaN,27.8458678867601,450.285251871333,154.092770250223,27.8458678867601,27.8458678867601,Shear Z
Rear left,Backward,0.4,5.349,-459.74,167.83,667.8,50.56,763.2,813.76,1431,718.36,0.00800988319856244,NaN,0.219903039832285,0.00657319111285883,-0.321271837875611,0.23362937802773,1198.5193494111,NaN,43.6556038848835,1460.47784632642,29.881237221038,41.0907227551689,1198.5193494111,29.881237221038,41.0907227551689,29.881237221038,Shear Y
Bottom left,Backward,0.4,361.54,261.45,39.43,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.310776435907189,0.0396257512109823,0.19688075193047,0.249208860759494,0.0440391359706927,NaN,30.8903729202524,242.266700481867,48.7604801681695,38.5219047619048,217.987927973624,48.7604801681695,30.8903729202524,217.987927973624,30.8903729202524,Normal Y
Firewall bottom,Forward,0.6,25.395,73.877,480.39,0,1622.95,0,1622.95,0,1622.95,NaN,0.045520194707169,NaN,0.0156474321451677,NaN,0.295998028281832,NaN,210.895407230938,NaN,613.519196692262,NaN,32.4326484731156,613.519196692262,210.895407230938,32.4326484731156,32.4326484731156,Shear Z
