Name,LoadCase,Timestep,Fx,Fy,Fz,A_norm_x_mm2,A_norm_y_mm2,A_norm_z_mm2,A_shear_x_mm2,A_shear_y_mm2,A_shear_z_mm2,sigma_x_MPa,sigma_y_MPa,sigma_z_MPa,tau_x_MPa,tau_y_MPa,tau_z_MPa,SF_normal_x,SF_normal_y,SF_normal_z,SF_shear_x,SF_shear_y,SF_shear_z,SF_x,SF_y,SF_z,SF_min,ControlMode
Firewall left,Down,1,124.42,327.2,541.07,0,0,667.8,667.8,667.8,0,NaN,NaN,0.810227613057802,0.186313267445343,0.489967056004792,NaN,NaN,NaN,8.63954756316188,37.5711300434014,14.2866748166259,NaN,37.5711300434014,14.2866748166259,8.63954756316188,8.63954756316188,Normal Z
Bottom left,Down,1,748.26,649.78,98.407,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.772370673259795,0.0988955439872972,0.407473561540891,0.619357175537593,0.109910201711082,NaN,9.06300594047216,70.7817533305558,17.1790286798706,11.3020406906953,63.6883555031654,17.1790286798706,9.06300594047216,63.6883555031654,9.06300594047216,Normal Y
Bottom left,Up,0.8,623.47,519.17,79.95,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.617119151768733,0.0803469137539445,0.339517736366904,0.494862360835748,0.0892956865548283,NaN,11.3430282951634,87.1222013758599,20.6174795900364,14.1453473813972,78.3912445278299,20.6174795900364,11.3430282951634,78.3912445278299,11.3430282951634,Normal Y
Firewall left,Up,0.8,89.955,261.77,408.63,0,0,667.8,667.8,667.8,0,NaN,NaN,0.611904761904762,0.134703504043127,0.39198861934711,NaN,NaN,NaN,11.4396887159533,51.9659829914957,17.8576613057264,NaN,51.9659829914957,17.8576613057264,11.4396887159533,11.4396887159533,Normal Z
Rear left,Down,1,21.918,-848.08,428.91,667.8,50.56,763.2,813.76,1431,718.36,0.0328212039532794,NaN,0.561988993710692,0.026934231222965,-0.592648497554158,0.59706832228966,213.27675882836,NaN,12.4557599496398,259.892325942148,11.8113857183285,11.7239514117181,213.27675882836,11.8113857183285,11.7239514117181,11.7239514117181,Shear Z
Rear left,Up,0.8,15.282,-722.92,348.22,667.8,50.56,763.2,813.76,1431,718.36,0.0228840970350404,NaN,0.456263102725367,0.0187794927251278,-0.505185185185185,0.484743025780946,305.889281507656,NaN,15.3420251565103,372.747022641016,13.8563049853372,14.4406409740968,305.889281507656,13.8563049853372,14.4406409740968,13.8563049853372,Shear Y
Bottom left,Forward,0.6,493.63,392.71,60.505,54.06,841.28,995.06,1836.34,1049.12,895.34,NaN,0.466800589577786,0.0608053785701365,0.268811875796421,0.374323242336434,0.0675776799874908,NaN,14.995696569988,115.121394926039,26.0405161760833,18.7004150645514,103.584497148996,26.0405161760833,14.995696569988,103.584497148996,14.995696569988,Normal Y
Rear left,Forward,0.6,9.6331,-594.51,261.63,667.8,50.56,763.2,813.76,1431,718.36,0.0144251272836179,NaN,0.342806603773585,0.0118377654345262,-0.415450733752621,0.364204577092266,485.26434896347,NaN,20.4196766425869,591.327817628801,16.8491699046273,19.2199671291519,485.26434896347,16.8491699046273,19.2199671291519,16.8491699046273,Shear Y
Firewall left,Forward,0.6,54.536,192.22,275.15,0,0,667.8,667.8,667.8,0,NaN,NaN,0.412024558250973,0.081665169212339,0.287840670859539,NaN,NaN,NaN,16.9892785753226,85.7158574152853,24.3190094683176,NaN,85.7158574152853,24.3190094683176,16.9892785753226,16.9892785753226,Normal Z
Firewall bottom,Down,1,43.907,130.95,639.33,0,1622.95,0,1622.95,0,1622.95,NaN,0.0806864043870729,NaN,0.0270538217443544,NaN,0.393930805015558,NaN,86.7556319205804,NaN,258.743480538411,NaN,17.7696181940469,258.743480538411,86.7556319205804,17.7696181940469,17.7696181940469,Shear Z
Firewall bottom,Up,0.8,34.601,101.11,559.52,0,1622.95,0,1622.95,0,1622.95,NaN,0.0623001324748144,NaN,0.0213198188483934,NaN,0.344754921593395,NaN,112.359311640787,NaN,328.33299615618,NaN,20.3042786674292,328.33299615618,112.359311640787,20.3042786674292,20.3042786674292,Shear Z
Rear left,Backward,0.4,5.349,-459.74,167.83,667.8,50.56,763.2,813.76,1431,718.36,0.00800988319856244,NaN,0.219903039832285,0.00657319111285883,-0.321271837875611,0.23362937802773,873.920358945597,NaN,31.8322111660609,1064.93176294635,21.7884021403402,29.9619853423107,873.920358945597,21.7884021403402,29.9619853423107,21.7884021403402,Shear Y
